model_key	phase	method	score_type	direction	src_lang	tgt_lang	examples	aligned_score_mean	aligned_score_std	hard_negative_score_mean	margin_mean	margin_min	recall_at_1	recall_at_5	recall_at_10	mrr	median_rank	hubness_at10_max_rate	hubness_at10_gini
align_mlm200	mlm200	align	csls_k10	bsn->syr	bsn	syr	629	-0.009507	0.002496	-0.000789	-0.008717	-0.016664	0.004769	0.009539	0.015898	0.013503	309.0	1.0	0.983003
align_mlm200	mlm200	align	centered_csls_k10	bsn->syr	bsn	syr	629	-0.394326	0.192204	0.027111	-0.421437	-1.143983	0.00318	0.014308	0.027027	0.016139	254.0	0.079491	0.325222
align_mlm200	mlm200	align	raw_cosine	bsn->usp	bsn	usp	629	0.995434	0.000974	0.997379	-0.001945	-0.004457	0.004769	0.025437	0.041335	0.020658	247.0	0.963434	0.96837
align_mlm200	mlm200	align	centered_cosine	bsn->usp	bsn	usp	629	0.110109	0.158385	0.410456	-0.300347	-0.909164	0.00318	0.036566	0.065183	0.030479	155.0	0.158983	0.533931
align_mlm200	mlm200	align	csls_k10	bsn->usp	bsn	usp	629	-0.002714	0.001233	-0.000263	-0.002451	-0.006332	0.007949	0.031797	0.049285	0.027526	216.0	0.82035	0.945843
align_mlm200	mlm200	align	centered_csls_k10	bsn->usp	bsn	usp	629	-0.474078	0.26464	0.059341	-0.533419	-1.567662	0.007949	0.036566	0.065183	0.031904	164.0	0.058824	0.285423
align_mlm200	mlm200	align	raw_cosine	chr->acu	chr	acu	659	0.990164	0.001206	0.992325	-0.002161	-0.00426	0.003035	0.013657	0.028832	0.015897	262.0	0.986343	0.976372
align_mlm200	mlm200	align	centered_cosine	chr->acu	chr	acu	659	0.101066	0.149912	0.364015	-0.262949	-0.79406	0.003035	0.015175	0.037936	0.021319	172.0	0.221548	0.753467
align_mlm200	mlm200	align	csls_k10	chr->acu	chr	acu	659	-0.003182	0.001113	-0.000683	-0.002499	-0.005999	0.003035	0.018209	0.037936	0.018151	231.0	0.887709	0.963447
align_mlm200	mlm200	align	centered_csls_k10	chr->acu	chr	acu	659	-0.392294	0.242138	0.024883	-0.417177	-1.532417	0.003035	0.030349	0.053111	0.024357	163.0	0.116844	0.517945
align_mlm200	mlm200	align	raw_cosine	chr->ake	chr	ake	673	0.988744	0.001289	0.991347	-0.002604	-0.005079	0.001486	0.011887	0.020802	0.013367	287.0	1.0	0.976733
align_mlm200	mlm200	align	centered_cosine	chr->ake	chr	ake	673	0.084949	0.123796	0.334141	-0.249192	-0.610164	0.010401	0.046062	0.065379	0.035472	168.0	0.246657	0.754372
align_mlm200	mlm200	align	csls_k10	chr->ake	chr	ake	673	-0.003557	0.001244	-0.000685	-0.002872	-0.006191	0.004458	0.013373	0.029718	0.017751	255.0	0.92422	0.96862
