model_key	model_group	seed	direction	split	side	language	item_id	x	y
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.1	0.07072429	-0.01712542
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.10	0.06773777	0.0087495
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.11	0.06591479	-0.02835195
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.12	0.06567974	-0.01345426
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.13	0.06782322	-0.02691715
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.14	0.06738306	0.00854509
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.15	0.07101182	-0.03940144
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.16	0.06984232	0.03492619
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.17	0.06794422	-0.02976456
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.18	0.06720036	0.03076622
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.19	0.06866459	-0.03132676
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.2	0.07121374	0.03740646
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.20	0.0668062	-0.01321034
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.21	0.06975254	-0.00909019
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.22	0.06809902	-0.01964444
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.23	0.06980364	-0.00926208
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.24	0.0615327	0.04341619
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.25	0.06606318	0.05446603
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.26	0.06879953	0.00482483
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.27	0.0699875	0.00084449
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.28	0.0680376	0.06250778
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.3	0.06968331	-0.0343204
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.4	0.07091064	0.01376718
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.5	0.06987847	0.02670493
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.6	0.06271853	0.02096994
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.7	0.06298121	0.12788753
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.8	0.06443322	-0.01687456
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.14.9	0.06961525	0.00067061
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.15.1	0.06694378	-0.02367264
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.15.10	0.06651988	-0.02236672
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.15.11	0.06842072	0.0293537
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.15.12	0.06927611	-0.02502199
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.15.13	0.06991518	0.03638978
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.15.14	0.0682404	0.0035137
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.15.15	0.06641591	0.05729719
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.15.16	0.06647355	-0.02270352
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.15.17	0.06827064	-0.01640617
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.15.18	0.0622477	0.09812913
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.15.19	0.06775522	0.04366465
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.15.2	0.07023914	-0.03455967
