metric	model_key	method	local_step	status	updated_at	out_dir	log_file
family_similarity	v52_weighted_fvt_conv5way_step2000	weighted_fvt	2000	done	2026-07-01 16:53:25 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-2000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_weighted_fvt_conv5way_step2000_20260701_165305.log
embedding_similarity	v52_weighted_fvt_conv5way_step3000	weighted_fvt	3000	done	2026-07-01 16:53:34 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-3000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_weighted_fvt_conv5way_step3000_20260701_165325.log
family_similarity	v52_weighted_fvt_conv5way_step3000	weighted_fvt	3000	done	2026-07-01 16:53:54 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-3000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_weighted_fvt_conv5way_step3000_20260701_165335.log
embedding_similarity	v52_weighted_fvt_conv5way_step4000	weighted_fvt	4000	done	2026-07-01 16:54:03 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-4000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_weighted_fvt_conv5way_step4000_20260701_165354.log
family_similarity	v52_weighted_fvt_conv5way_step4000	weighted_fvt	4000	done	2026-07-01 16:54:22 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-4000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_weighted_fvt_conv5way_step4000_20260701_165403.log
embedding_similarity	v52_weighted_fvt_conv5way_step5000	weighted_fvt	5000	done	2026-07-01 16:54:31 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-5000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_weighted_fvt_conv5way_step5000_20260701_165423.log
family_similarity	v52_weighted_fvt_conv5way_step5000	weighted_fvt	5000	done	2026-07-01 16:54:50 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-5000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_weighted_fvt_conv5way_step5000_20260701_165431.log
embedding_similarity	v52_weighted_fvt_conv5way_step6000	weighted_fvt	6000	done	2026-07-01 16:54:59 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-6000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_weighted_fvt_conv5way_step6000_20260701_165451.log
family_similarity	v52_weighted_fvt_conv5way_step6000	weighted_fvt	6000	done	2026-07-01 16:55:19 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-6000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_weighted_fvt_conv5way_step6000_20260701_165500.log
embedding_similarity	v52_weighted_fvt_conv5way_step7000	weighted_fvt	7000	done	2026-07-01 16:55:27 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/weighted_fvt/checkpoint-7000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_weighted_fvt_conv5way_step7000_20260701_165519.log
